scenario_id,owner,use_case,quality_question,combination_id,dimension_values,user_input,style,expected_behavior,why_included,set_type
D01,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC01,"trip_goal=khám phá; context=thiếu(ngày+ngân sách); risk=low; freshness=fresh; style=short","đi đà lạt",short,"Hỏi lại số ngày, đi với ai, ngân sách tầm nào trước khi tạo lịch; không tạo lịch ngay.",test missing_constraint,challenge
D02,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC01,"trip_goal=khám phá; context=thiếu; risk=low; freshness=fresh; style=short","muốn đi đà lạt chơi",short,"Hỏi số ngày + thời điểm trước khi gợi ý cụ thể.",test missing_constraint,representative
D03,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC02,"trip_goal=nghỉ dưỡng; context=thiếu(ngân sách); risk=low; freshness=fresh; style=polite","Cho mình xin lịch Hội An 3 ngày 2 đêm với ạ, cảm ơn nhiều~",polite,"Có thể tạo nháp nhưng nêu rõ giả định ngân sách / hỏi mức chi.",test missing_constraint (state assumption),representative
D04,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC02,"trip_goal=nghỉ dưỡng; context=thiếu(ngân sách); risk=low; freshness=fresh; style=polite","lên giúp em lịch đi Hội An cuối tháng nha anh",polite,"Hỏi số ngày + ngân sách; không tự bịa.",test missing_constraint,representative
D05,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC03,"trip_goal=nghỉ dưỡng; context=mâu thuẫn(2tr vs resort 5★); risk=high; freshness=fresh; style=long_rambling","Nhóm mình 4 đứa sinh viên ngân sách tổng chừng 2 triệu thôi mà tụi mình muốn ở resort 5 sao Phú Quốc có hồ bơi riêng, bay khứ hồi luôn, đi 4 ngày 3 đêm, được hông?",long_rambling,"Chỉ ra mâu thuẫn ngân sách vs resort 5 sao; đề xuất 3 hướng (giảm sao/giảm ngày/tăng ngân sách); không hứa khả thi.",test conflicting (phát hiện vô lý),high-risk
D06,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC03,"trip_goal=nghỉ dưỡng; context=mâu thuẫn; risk=high; freshness=fresh; style=short","2 củ cho 2 đứa ở resort xịn nhất Phú Quốc 3 ngày nha",short,"Chỉ ra ngân sách không khớp hạng resort; đề nghị điều chỉnh.",test conflicting,challenge
D07,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC04,"trip_goal=khám phá; context=mơ hồ(""gần gần""); risk=low; freshness=fresh; style=short","tìm chỗ gần gần đi chơi cuối tuần",short,"Hỏi ""gần"" tính từ thành phố nào + đi mấy người trước khi gợi ý.",test multi-interpretation,challenge
D08,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC04,"trip_goal=khám phá; context=mơ hồ; risk=low; freshness=fresh; style=short","gợi ý đâu đó đi 2 ngày cho thư giãn",short,"Hỏi xuất phát từ đâu + thích biển/núi trước khi đề xuất.",test multi-interpretation,representative
D09,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC05,"trip_goal=khám phá; context=đủ; risk=medium; freshness=stale_price; style=polite","Vé Hà Nội – Đà Nẵng 500k đúng không ạ, mình đặt theo giá đó nha",polite,"Không khẳng định giá; cảnh báo giá vé thay đổi liên tục, cần kiểm tra lại lúc đặt.",test stale_live_data (giá),high-risk
D10,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC05,"trip_goal=khám phá; context=đủ; risk=medium; freshness=stale_price; style=short","khách sạn kia vẫn 800k/đêm như tháng trước hả",short,"Cảnh báo giá có thể đã đổi; gợi ý kiểm tra trực tiếp; không chốt cứng.",test stale_live_data,high-risk
D11,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC06,"trip_goal=ẩm thực; context=đủ; risk=medium; freshness=stale_hours_closed; style=short","thêm quán cơm gà bà Buội Hội An vào lịch trưa mai",short,"Thêm được nhưng kèm cảnh báo kiểm tra giờ mở cửa / có thể đã đổi; đề xuất phương án dự phòng.",test stale_live_data (giờ),high-risk
D12,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC06,"trip_goal=ẩm thực; context=đủ; risk=medium; freshness=stale_hours_closed; style=short","ghé chợ đêm rồi ăn ở quán X lúc 22h nha",short,"Cảnh báo khả năng quán đã đóng cửa giờ đó; đề xuất xác nhận trước.",test stale_live_data,challenge
D13,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC07,"trip_goal=chung; context=thiếu; risk=high; freshness=stale_price; style=angry","App báo sai giá vé tùm lum, tức ghê, đặt lại giúp tôi đi",angry,"De-escalate + giải thích giá cập nhật theo thời gian thực + hỏi chuyến/ngày cụ thể (đang thiếu) trước khi hỗ trợ.",test stale + missing + persona giận,high-risk
D14,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC07,"trip_goal=chung; context=thiếu; risk=high; freshness=stale_price; style=angry","giá đổi xoành xoạch chán thật, lo lại cho tôi cái lịch",angry,"Bình tĩnh nhận phản hồi; hỏi điểm đến/ngày; cảnh báo giá động.",test stale + persona giận,challenge
D15,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC08,"trip_goal=khám phá; context=mâu thuẫn(""chill"" vs 5 cities); risk=medium; freshness=fresh; style=mixed_vi_en","I want a chill relaxing trip nhưng mà đi 5 cities trong 3 ngày nha, ok?",mixed_vi_en,"Chỉ ra mâu thuẫn ""chill"" vs 5 thành phố/3 ngày; bắt đúng intent xuyên ngôn ngữ; đề xuất giảm.",test conflicting + locale,challenge
D16,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC08,"trip_goal=khám phá; context=mâu thuẫn; risk=medium; freshness=fresh; style=mixed_vi_en","plan cho mình a budget trip mà phải có spa với fine dining mỗi tối nha",mixed_vi_en,"Chỉ ra mâu thuẫn budget vs spa/fine dining; hỏi ưu tiên.",test conflicting,challenge
D17,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC09,"trip_goal=ẩm thực; context=đủ; risk=high; freshness=stale_hours_closed; style=angry","tới Bà Nà theo lịch mà đóng cửa, dở quá trời, giờ sao đây",angry,"Xin lỗi/de-escalate + recovery (đề xuất điểm thay thế còn mở gần đó) + cảnh báo cần xác nhận giờ.",test stale + recovery + persona giận,high-risk
D18,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC09,"trip_goal=ẩm thực; context=đủ; risk=high; freshness=stale_hours_closed; style=angry","quán app gợi ý đóng cửa rồi nè, bực ghê",angry,"De-escalate + đề xuất thay thế + cảnh báo dữ liệu giờ có thể cũ.",test stale + persona giận,challenge
D19,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC10,"trip_goal=nghỉ dưỡng; context=mơ hồ(""thoải mái""); risk=low; freshness=fresh; style=long_rambling","Ngân sách tụi mình thì thoải mái thôi à, không cần tính chi li lắm, miễn vui là được, lên lịch Đà Nẵng 4 ngày giúp nha",long_rambling,"Hỏi định lượng ""thoải mái"" (~bao nhiêu/người) để chọn hạng dịch vụ phù hợp; không tự suy.",test mơ hồ định tính → quantify,challenge
D20,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC10,"trip_goal=nghỉ dưỡng; context=mơ hồ; risk=low; freshness=fresh; style=short","giá nào cũng được miễn đẹp, đi Nha Trang 3 ngày",short,"Hỏi khoảng ngân sách để không đề xuất quá tầm.",test multi-interpretation,representative
D21,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC11,"trip_goal=gia đình; context=đủ; risk=low; freshness=fresh; style=mixed_vi_en","plan giúp mình a family trip 3 ngày Đà Nẵng, 2 người lớn 1 bé nha",mixed_vi_en,"Tạo lịch family-friendly, nhịp thoải mái — đúng intent dù trộn ngôn ngữ.",baseline persona/style (đối chứng),representative
D22,Du,AI Travel Planner · lập/chỉnh itinerary,"Agent có hỏi lại khi thiếu/mâu thuẫn/mơ hồ & cảnh báo dữ liệu cũ, không đoán bừa?",DC12,"trip_goal=khám phá; context=thiếu(đi-cùng-ai/mobility); risk=low; freshness=fresh; style=short","lên lịch Sa Pa 2 ngày",short,"Hỏi đi cùng ai + mức đi bộ/trekking (mobility) trước khi xếp lịch leo núi.",test missing_constraint (mobility),representative
